Date,COVID-19 Hospitalizations,Adult ICU COVID-19 Patients,Hospitalized and Ventilated COVID-19 Inpatient Count,COVID-19 Confirmed Patients Admitted - Last 24 Hours,Influenza Confirmed Patients Admitted - Last 24 Hours
9/30/2023,601,62,28,83,0
9/29/2023,614,58,27,87,3
9/28/2023,621,56,27,83,2
9/27/2023,614,54,22,94,0
9/26/2023,594,46,20,85,2
9/25/2023,657,53,21,77,1
9/24/2023,627,60,17,88,1
9/23/2023,625,59,17,102,4
9/22/2023,586,67,16,98,2
9/21/2023,596,53,22,89,2
9/20/2023,603,63,21,73,0
9/19/2023,612,62,22,104,3
9/18/2023,632,66,28,77,0
9/17/2023,619,59,27,65,3
9/16/2023,619,72,26,87,0
9/15/2023,641,79,27,71,2
9/14/2023,647,66,19,102,4
9/13/2023,671,70,25,88,0
9/12/2023,659,74,30,94,2
9/11/2023,651,67,26,86,2
9/10/2023,625,68,22,95,1
9/9/2023,596,69,23,97,0
9/8/2023,588,66,22,101,2
9/7/2023,580,65,23,95,1
9/6/2023,590,70,22,99,1
9/5/2023,576,69,25,88,0
9/4/2023,542,59,21,81,1
9/3/2023,522,56,20,77,0
9/2/2023,510,48,13,71,3
9/1/2023,498,44,10,72,3
8/31/2023,516,50,14,70,0
8/30/2023,508,48,13,86,1
8/29/2023,492,48,13,70,4
8/28/2023,499,47,13,71,4
8/27/2023,484,52,16,53,1
8/26/2023,460,50,18,78,4
8/25/2023,459,49,18,56,1
8/24/2023,462,41,18,73,2
8/23/2023,465,42,16,85,1
8/22/2023,451,44,19,69,0
8/21/2023,421,37,17,63,0
8/20/2023,402,32,17,60,0
8/19/2023,378,37,16,78,1
8/18/2023,372,29,13,50,3
8/17/2023,389,30,14,60,3
8/16/2023,370,37,15,59,4
8/15/2023,358,32,14,71,2
8/14/2023,362,37,13,65,1
8/13/2023,334,34,12,52,0
8/12/2023,318,34,13,51,2
8/11/2023,307,35,15,43,2
8/10/2023,306,37,17,65,2
8/9/2023,293,35,19,53,1
8/8/2023,285,32,15,51,0
8/7/2023,287,27,12,31,3
8/6/2023,286,24,11,45,3
